timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772269102755,328,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-1,text,true,,395616,340,2,2,https://baomoi.com/kham-pha-viet-nam-top335.epi,134,0,26
1772269106084,228,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-2,text,true,,395663,340,2,2,https://baomoi.com/kham-pha-viet-nam-top335.epi,108,0,25
1772269106621,192,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-1,text,true,,328817,324,3,3,https://baomoi.com/the-thao.epi,91,0,0
1772269110204,212,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-2,text,true,,328850,324,3,3,https://baomoi.com/the-thao.epi,88,0,0
1772269111376,243,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-3,text,true,,395671,340,4,4,https://baomoi.com/kham-pha-viet-nam-top335.epi,114,0,22
1772269112403,283,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-1,text,true,,395782,340,4,4,https://baomoi.com/kham-pha-viet-nam-top335.epi,99,0,0
1772269114494,224,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-4,text,true,,395647,340,4,4,https://baomoi.com/kham-pha-viet-nam-top335.epi,114,0,30
1772269115773,319,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-1,text,true,,328834,324,5,5,https://baomoi.com/the-thao.epi,108,0,0
1772269115871,274,GET - Kham pha Viet Nam,200,OK,Thread Group 3 - Kich ban tuy chinh 3-2,text,true,,395663,340,5,5,https://baomoi.com/kham-pha-viet-nam-top335.epi,95,0,0
1772269117958,212,GET - The thao,200,OK,Thread Group 3 - Kich ban tuy chinh 3-4,text,true,,328794,324,5,5,https://baomoi.com/the-thao.epi,88,0,0
